r,g,d,w,l,td,tw,tl,l_,e,a,s,t,p
-1,1990,10,0,0,1923,19,48,130903700.59013367,0.01,989,80314,2023-04-27T19:57:52.541769,0
-1,2000,10,0,0,1933,19,48,127934674.62062836,0.01,804,81118,2023-04-27T19:57:57.373344,0
-1,2010,10,0,0,1943,19,48,127535017.1327591,0.01,927,82045,2023-04-27T19:58:02.149886,0
-1,2020,10,0,0,1953,19,48,128429757.95269012,0.01,900,82945,2023-04-27T19:58:06.899756,0
-1,2030,10,0,0,1963,19,48,127753441.33377075,0.01,798,83743,2023-04-27T19:58:11.663831,0
-1,2040,10,0,0,1973,19,48,130122190.71388245,0.01,915,84658,2023-04-27T19:58:16.400473,0
-1,2050,10,0,0,1983,19,48,126668394.2079544,0.01,885,85543,2023-04-27T19:58:21.149360,0
-10.9,2060,9,0,1,1992,19,49,127773086.42864227,0.01,765,86308,2023-04-27T19:58:25.852448,0
-1,2070,10,0,0,2002,19,49,128150062.56103516,0.01,593,86901,2023-04-27T19:58:30.634485,0
-1,2080,10,0,0,2012,19,49,127740050.55427551,0.01,930,87831,2023-04-27T19:58:35.446731,0
-1,2090,10,0,0,2022,19,49,127716138.95893097,0.01,920,88751,2023-04-27T19:58:40.231588,0
-1,2100,10,0,0,2032,19,49,125435997.84374237,0.01,842,89593,2023-04-27T19:58:45.157860,0
10.1,2110,9,1,0,2041,20,49,136028116.94145203,0.9998344989999906,1693,91286,2023-04-27T19:58:49.288093,0
-1,2120,10,0,0,2051,20,49,131620762.34817505,0.9331668333333238,1631,92917,2023-04-27T19:58:53.177861,0
-1,2130,10,0,0,2061,20,49,132638911.00883484,0.8665001666666572,1564,94481,2023-04-27T19:58:57.191433,0
-1,2140,10,0,0,2071,20,49,137295201.420784,0.7998334999999905,1478,95959,2023-04-27T19:59:01.313498,0
-1,2150,10,0,0,2081,20,49,129469799.99542236,0.7331668333333239,1543,97502,2023-04-27T19:59:05.436862,0
-1,2160,10,0,0,2091,20,49,131254565.7157898,0.6665001666666572,1375,98877,2023-04-27T19:59:09.701169,0
