r,g,d,w,l,td,tw,tl,l_,e,a,s,t,p
-1,1880,10,0,0,1813,27,40,27116840.332746506,0.5331668333333238,1542,97098,2023-04-27T20:00:23.620568,0
-1,1890,10,0,0,1823,27,40,27326499.223709106,0.46650016666665717,1242,98340,2023-04-27T20:00:27.571549,0
-1,1900,10,0,0,1833,27,40,27102581.2625885,0.3998334999999905,1206,99546,2023-04-27T20:00:31.132077,0
10.1,1910,9,1,0,1842,28,40,26942398.846149445,0.3331671663333239,1344,80712,2023-04-27T20:00:34.707951,0
-1,1920,10,0,0,1852,28,40,27115430.83190918,0.2665001666666572,1233,81945,2023-04-27T20:00:38.253238,0
-1,1930,10,0,0,1862,28,40,26010583.639144897,0.19983350000000433,1051,82996,2023-04-27T20:00:42.157426,0
-1,1940,10,0,0,1872,28,40,27257748.246192932,0.13316683333333768,1193,84189,2023-04-27T20:00:45.796167,0
-20.8,1950,8,0,2,1880,28,42,27243034.094572067,0.06652147866666441,1095,85284,2023-04-27T20:00:49.403881,0
-1,1960,10,0,0,1890,28,42,26856484.11512375,0,1138,86422,2023-04-27T20:00:53.011552,0
-1,1970,10,0,0,1900,28,42,26504872.739315033,0,1121,87543,2023-04-27T20:00:56.838093,0
-1,1980,10,0,0,1910,28,42,26910498.14224243,0,1105,88648,2023-04-27T20:01:00.758664,0
-1,1990,10,0,0,1920,28,42,26889477.81920433,0,1115,89763,2023-04-27T20:01:04.335209,0
-1,2000,10,0,0,1930,28,42,26404272.01986313,0,1186,90949,2023-04-27T20:01:07.975967,0
-1,2010,10,0,0,1940,28,42,26993281.39424324,0,1145,92094,2023-04-27T20:01:11.628863,0
-10.9,2020,9,0,1,1949,28,43,26361291.40853882,0,1079,93173,2023-04-27T20:01:15.691147,0
-10.9,2030,9,0,1,1958,28,44,27382111.847400665,0,887,94060,2023-04-27T20:01:19.360739,0
-1,2040,10,0,0,1968,28,44,26601056.307554245,0,1155,95215,2023-04-27T20:01:23.015282,0
-1,2050,10,0,0,1978,28,44,27916613.37018013,0,1002,96217,2023-04-27T20:01:26.732595,0
-1,2060,10,0,0,1988,28,44,26708163.619041443,0,1055,97272,2023-04-27T20:01:30.825691,0
-1,2070,10,0,0,1998,28,44,26588141.62015915,0,1034,98306,2023-04-27T20:01:34.543011,0
-1,2080,10,0,0,2008,28,44,27233792.24538803,0,1030,99336,2023-04-27T20:01:38.150682,0
-10.9,2090,9,0,1,2017,28,45,26978458.017110825,0,992,80263,2023-04-27T20:01:41.773753,0
-1,2100,10,0,0,2027,28,45,26589417.904615402,0,833,81096,2023-04-27T20:01:45.803973,0
-1,2110,10,0,0,2037,28,45,26529977.321624756,0.9998334999999905,1619,82715,2023-04-27T20:01:48.878200,0
-1,2120,10,0,0,2047,28,45,27474367.320537567,0.9331668333333238,1637,84352,2023-04-27T20:01:51.920480,0
-1,2130,10,0,0,2057,28,45,26998216.36080742,0.8665001666666572,1596,85948,2023-04-27T20:01:54.947895,0
-1,2140,10,0,0,2067,28,45,27043469.39921379,0.7998334999999905,1596,87544,2023-04-27T20:01:58.163459,0
-1,2150,10,0,0,2077,28,45,27642315.179109573,0.7331668333333239,1418,88962,2023-04-27T20:02:01.629313,0
-1,2160,10,0,0,2087,28,45,27415672.39165306,0.6665001666666572,1470,90432,2023-04-27T20:02:05.032513,0
-1,2170,10,0,0,2097,28,45,27134227.007627487,0.5998334999999905,1460,91892,2023-04-27T20:02:08.216410,0
-1,2180,10,0,0,2107,28,45,28210641.890764236,0.5331668333333238,1419,93311,2023-04-27T20:02:11.510557,0
-10.9,2190,9,0,1,2116,28,46,28022759.556770325,0.46651581766665806,1216,94527,2023-04-27T20:02:14.710952,0
22.4,2200,6,3,1,2122,31,47,27108424.454927444,0.3998701299999926,1170,95697,2023-04-27T20:02:18.417601,0
0.2,2210,8,1,1,2130,32,48,27283744.364976883,0.333187146333325,1018,96715,2023-04-27T20:02:21.782709,0
-10.9,2220,9,0,1,2139,32,49,26802849.769592285,0.26651481866665805,1255,97970,2023-04-27T20:02:25.249348,0
-1,2230,10,0,0,2149,32,49,28245792.537927628,0.19983350000000433,1029,98999,2023-04-27T20:02:28.794150,0
-1,2240,10,0,0,2159,32,49,28348710.387945175,0.13316683333333768,981,99980,2023-04-27T20:02:32.636635,0
-1,2250,10,0,0,2169,32,49,27716393.47076416,0.06650016666666408,1232,80970,2023-04-27T20:02:36.588599,0
-1,2260,10,0,0,2179,32,49,28201850.801706314,0,1110,82080,2023-04-27T20:02:40.180922,0
-1,2270,10,0,0,2189,32,49,27092637.717723846,0,963,83043,2023-04-27T20:02:43.835826,0
-1,2280,10,0,0,2199,32,49,28128365.27824402,0,777,83820,2023-04-27T20:02:47.443282,0
-1,2290,10,0,0,2209,32,49,27500845.193862915,0,1003,84823,2023-04-27T20:02:51.646062,0
-1,2300,10,0,0,2219,32,49,27896111.458539963,0,1017,85840,2023-04-27T20:02:55.394737,0
-1,2310,10,0,0,2229,32,49,27000600.0995636,0,1268,87108,2023-04-27T20:02:59.127152,0
-1,2320,10,0,0,2239,32,49,27220983.803272247,0,878,87986,2023-04-27T20:03:02.938553,0
-1,2330,10,0,0,2249,32,49,27596639.39476013,0,1278,89264,2023-04-27T20:03:07.195506,0
-1,2340,10,0,0,2259,32,49,28181576.877832413,0,886,90150,2023-04-27T20:03:10.858783,0
-1,2350,10,0,0,2269,32,49,27910570.50228119,0,1190,91340,2023-04-27T20:03:14.529838,0
-1,2360,10,0,0,2279,32,49,28465555.906295776,0,876,92216,2023-04-27T20:03:18.153360,0
-1,2370,10,0,0,2289,32,49,27141669.988632202,0,1153,93369,2023-04-27T20:03:22.230653,0
-10.9,2380,9,0,1,2298,32,50,27909331.917762756,0,900,94269,2023-04-27T20:03:25.932265,0
-1,2390,10,0,0,2308,32,50,27646788.507699966,0,1097,95366,2023-04-27T20:03:29.539814,0
-10.9,2400,9,0,1,2317,32,51,27970085.14404297,0,822,96188,2023-04-27T20:03:33.115994,0
-1,2410,10,0,0,2327,32,51,27374344.31910515,0.9998334999999905,1634,97822,2023-04-27T20:03:36.158586,0
-1,2420,10,0,0,2337,32,51,26626381.57606125,0.9331668333333238,1557,99379,2023-04-27T20:03:39.640098,0
-1,2430,10,0,0,2347,32,51,27940520.495176315,0.8665001666666572,1667,80837,2023-04-27T20:03:42.684382,0
-1,2440,10,0,0,2357,32,51,27482336.312532425,0.7998334999999905,1635,82472,2023-04-27T20:03:45.758184,0
-1,2450,10,0,0,2367,32,51,28183676.74946785,0.7331668333333239,1436,83908,2023-04-27T20:03:48.863453,0
